search_item,search_lat,search_lon,URL,url_lat,url_lon,distance_km,within_7km,Name,Address,Website,,Phone,Store_Type,Operating_Status,Operating_Hours,Rating,Permanently_Closed,Latitude,Longitude
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Achiever%27s+Point/data=!4m7!3m6!1s0x390d030d1e116a3f:0xfaaa47f3feb6de13!8m2!3d28.5509312!4d77.2048839!16s%2Fg%2F1tf6_9vn!19sChIJP2oRHg0DDTkRE962_vNHqvo?authuser=0&hl=en&rclk=1,28.5509312,77.2048839,3.59,YES,Achiever's Point,"G-4, near PNB Bank, Hauz Khas Market, Kharera, Hauz Khas, New Delhi, Delhi 110016",https://achieverspoint.com/,9899004123,9899004123,Coaching Center,Open,Opens 9 am,4.7,No,28.5509312,77.2048839
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/AEC+Overseas/data=!4m7!3m6!1s0x390ce3cfe9150485:0x282b89db7c3f9751!8m2!3d28.5487345!4d77.250511!16s%2Fg%2F1tfhxzl0!19sChIJhQQV6c_jDDkRUZc_fNuJKyg?authuser=0&hl=en&rclk=1,28.5487345,77.250511,1.59,YES,AEC Overseas,"5th Floor, Ansal Tower 38, 505-510, Nehru Place, New Delhi, Delhi 110019",https://www.aecoverseas.com/,9958796263,9958796263,Educational consultant,Open,Opens 9:30 am,4.9,No,28.5487345,77.250511
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/American+Institute+of+English+Language+Pvt.+Ltd./data=!4m7!3m6!1s0x390ce25eaf9c7ddb:0x8adf033e690d6828!8m2!3d28.5700013!4d77.2198247!16s%2Fg%2F12h_csggs!19sChIJ232cr17iDDkRKGgNaT4D34o?authuser=0&hl=en&rclk=1,28.5700013,77.2198247,3.94,YES,American Institute of English Language Pvt. Ltd.,"E-20 First floor, South Extension I, Block E, New Delhi, Delhi 110049",http://www.americaninstitutedelhi.in/,9250723413,9250723413,English language school,Open,Opens 7:30 am,4.8,No,28.5700013,77.2198247
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,"https://www.google.com/maps/place/BHARGAV+TUTORIALS%28Premier+Coaching+Institute+for+CBSE,JEE,NEET+%26CUET%29%7CCBSE%286th-12th%29+Best+Tuition+Classes/data=!4m7!3m6!1s0x390d1e0f2095d5af:0x8feb9c5874ee4b54!8m2!3d28.5227734!4d77.179955!16s%2Fg%2F1ptynp75x!19sChIJr9WVIA8eDTkRVEvudFic648?authuser=0&hl=en&rclk=1",28.5227734,77.179955,6.03,YES,"BHARGAV TUTORIALS(Premier Coaching Institute for CBSE,JEE,NEET &CUET)|CBSE(6th-12th) Best Tuition Classes","Head Office:16 A/1 Ground Floor Ward, No.1, Ward Number 1, Mehrauli Village, Mehrauli, New Delhi, Delhi 110030",http://www.bhargavtutorials.com/,9555522336,9555522336,Coaching Center,Open,Opens 10 am,4.7,No,28.5227734,77.179955
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/BNPS+International+%E2%80%94+Study+Abroad+Consultancy/data=!4m7!3m6!1s0x390ce35ef9a51127:0xe7114833c32a8895!8m2!3d28.550854!4d77.250206!16s%2Fg%2F11rw9w2h1d!19sChIJJxGl-V7jDDkRlYgqwzNIEec?authuser=0&hl=en&rclk=1,28.550854,77.250206,1.74,YES,BNPS International — Study Abroad Consultancy,"9th Floor, International Trade Tower, 906-A, Block E, Nehru Place, New Delhi, Delhi 110019",https://www.bnpsinternational.com/,8800880285,8800880285,Educational consultant,Open,Opens 10 am,4.6,No,28.550854,77.250206
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Bright+Future+Coaching+Institute/data=!4m7!3m6!1s0x390ce1688006ca2b:0x748d9eb721bba5fc!8m2!3d28.5238013!4d77.2603071!16s%2Fg%2F11tf_4nq6l!19sChIJK8oGgGjhDDkR_KW7IbeejXQ?authuser=0&hl=en&rclk=1,28.5238013,77.2603071,2.67,YES,Bright Future Coaching Institute,"RZ 71/A, Street Number 9, Tughlakabad Extension, Tughlakabad, New Delhi, Delhi 110019",Not Found,8802000015,8802000015,Coaching Center,Open,Opens 9:30 am,5,No,28.5238013,77.2603071
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/British+Academy+School+of+English+Language/data=!4m7!3m6!1s0x390ce3de15001efb:0x43229935afb30612!8m2!3d28.5401247!4d77.2619842!16s%2Fg%2F1pp2ts40p!19sChIJ-x4AFd7jDDkREgazrzWZIkM?authuser=0&hl=en&rclk=1,28.5401247,77.2619842,2.26,YES,British Academy School of English Language,"Second Floor, Saroj Tower, Guru Ravidas Marg, above Bank of Baroda, Block K, Kalkaji, New Delhi, Delhi 110019",Not Found,9711995636,9711995636,English language school,Open,Opens 7 am,4.1,No,28.5401247,77.2619842
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/British+Institute/data=!4m7!3m6!1s0x390ce474fe96a865:0xb36222c894b36b14!8m2!3d28.5657642!4d77.2879694!16s%2Fg%2F11b7k2_ncg!19sChIJZaiW_nTkDDkRFGuzlMgiYrM?authuser=0&hl=en&rclk=1,28.5657642,77.2879694,5.66,YES,British Institute,"I-104Muradi Road, near Chhota Barat Ghar, Jamia, Batla House, Jamia Nagar, Okhla, New Delhi, Delhi 110025",http://www.thebritishinstitute.in/,9911707083,9911707083,English language school,Open,Opens 8:30 am,4.8,No,28.5657642,77.2879694
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Career+Craft+Consultants+-+SAC+%28New+Delhi%29/data=!4m7!3m6!1s0x390ce35dd1fb8a51:0x9b5a103278bbcc62!8m2!3d28.5456485!4d77.2548165!16s%2Fg%2F11tfv371zq!19sChIJUYr70V3jDDkRYsy7eDIQWps?authuser=0&hl=en&rclk=1,28.5456485,77.2548165,1.73,YES,Career Craft Consultants - SAC (New Delhi),"Bakshi house, NEHRU PLACE-2, 40-41, Block D, Nehru Nagar, Kalkaji, New Delhi, Delhi 110019",http://careercraftconsultants.co.in/,Phone Number Not Found,Phone Number Not Found,Educational consultant,Open,Opens 10 am,5,No,28.5456485,77.2548165
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Career+Launcher/data=!4m7!3m6!1s0x390ce76832f4b85b:0x1306e08684b1372e!8m2!3d28.5203265!4d77.2925207!16s%2Fg%2F11ssv0rct3!19sChIJW7j0MmjnDDkRLjexhIbgBhM?authuser=0&hl=en&rclk=1,28.5203265,77.2925207,5.63,YES,Career Launcher,"First Floor, A-45, NH-19, Block B, Mohan Cooperative Industrial Estate, Badarpur, New Delhi, Delhi 110044",https://www.careerlauncher.com/cat-mba/,8130038836,8130038836,Coaching Center,Open,Opens 9 am,4.9,No,28.5203265,77.2925207
