URL,Name,Address,Website,Phone,Store_Type,Operating_Status,Operating_Hours,Rating,Permanently_Closed,Latitude,Longitude
https://www.google.com/maps/place/Delhi+-+Barakhamba+International+Education+Career+Launcher+Center/data=!4m7!3m6!1s0x390cfd6fad6e2917:0xa37a59502520406b!8m2!3d28.6296381!4d77.2257202!16s%2Fg%2F11tdtbzwyd!19sChIJFylurW_9DDkRa0AgJVBZeqM?authuser=0&hl=en&rclk=1,Delhi - Barakhamba International Education Career Launcher Center,"FLAT NO - D GROUND FLOOR DCM BUILDING at 16, Barakhamba Rd, New Delhi, Delhi 110001",https://www.careerlauncher.com/barakhamba-center/,0890936601,Coaching Center,Open,Closes 8 pm,4.8,No,28.6296381,77.2257202
https://www.google.com/maps/place/IELTS+Coaching/data=!4m7!3m6!1s0x390cfdc986a3a7bd:0x4a4982d184f40d72!8m2!3d28.6291627!4d77.2249081!16s%2Fg%2F11h2l33jjp!19sChIJvaejhsn9DDkRcg30hNGCSUo?authuser=0&hl=en&rclk=1,IELTS Coaching,"811, Arunachal building, beside metro gate, no 4, Barakhamba Rd, Connaught Place, Delhi 110001",Not Found,0956011096,Coaching Center,Open,Closes 7 pm,4.9,No,28.6291627,77.2249081
https://www.google.com/maps/place/Zenit+Excelencia/data=!4m7!3m6!1s0x390d190d8c15ea3f:0x58342b427226f037!8m2!3d28.6277705!4d77.2217526!16s%2Fg%2F11h89djz8c!19sChIJP-oVjA0ZDTkRN_AmckIrNFg?authuser=0&hl=en&rclk=1,Zenit Excelencia,"602, Block A Naurang House, 21, KG Marg, Connaught Place, New Delhi, Delhi 110001",https://www.zenitexcelencia.com/,0971163047,Educational institution,Open,Closes 7 pm,4.8,No,28.6277705,77.2217526
"https://www.google.com/maps/place/Oracle+International+Language+Institute+-+Best+Ielts,+English,French,German,Spanish,Arabic,Chinese,+Korean+Classes+in+Delhi/data=!4m7!3m6!1s0x390cfd49ce5d563b:0x76933fe29809ad22!8m2!3d28.6329264!4d77.2222289!16s%2Fg%2F11fyz99r40!19sChIJO1Zdzkn9DDkRIq0JmOI_k3Y?authuser=0&hl=en&rclk=1","Oracle International Language Institute - Best Ielts, English,French,German,Spanish,Arabic,Chinese, Korean Classes in Delhi","Gate No. 4, Metro Station, 3rd Floor, Mythri House, M, 5A, Middle Cir, near Rajiv Chowk, Connaught Place, New Delhi, Delhi 110001",http://www.oracleglobaleducation.com/,0995398828,Language school,Open,Closes 8 pm,4.8,No,28.6329264,77.2222289
https://www.google.com/maps/place/British+Council/data=!4m7!3m6!1s0x390cfd337dcfbf97:0x85ce45e0a4f972e6!8m2!3d28.6271013!4d77.2225856!16s%2Fg%2F1td5pnk8!19sChIJl7_PfTP9DDkR5nL5pOBFzoU?authuser=0&hl=en&rclk=1,British Council,"17, KG Marg, Atul Grove Road, Janpath, Connaught Place, New Delhi, Delhi 110001",https://www.britishcouncil.in/,01169032222,English language school,Open,Closes 6 pm,4.3,No,28.6271013,77.2225856
https://www.google.com/maps/place/Pragati+The+N+Power/data=!4m7!3m6!1s0x390cfd49be91ad31:0xe4a114673bd093bb!8m2!3d28.6327467!4d77.2220593!16s%2Fg%2F11b6_dc15j!19sChIJMa2Rvkn9DDkRu5PQO2cUoeQ?authuser=0&hl=en&rclk=1,Pragati The N Power,"J6MC+3RV, Middle Cir, near Gate Number 2, Inner Circle, Block B, Connaught Place, New Delhi, Delhi 110001",http://www.mypragati.org/,0971809563,Language school,Open,Closes 6:30 pm,4.3,No,28.6327467,77.2220593
https://www.google.com/maps/place/Canadian+Education+Centre/data=!4m7!3m6!1s0x390cfd32312def79:0xecef531a311ad995!8m2!3d28.6293059!4d77.2237649!16s%2Fg%2F1tdb76df!19sChIJee8tMTL9DDkRldkaMRpT7-w?authuser=0&hl=en&rclk=1,Canadian Education Centre,"#809, 8th Floor, Indraprakash Building, 21 Barakhmba Road, Connaught Place, New Delhi, Delhi 110001",http://canadianeducationcentre.com/,0987136761,Consultant,Open,Closes 5 pm,5.0,No,28.6293059,77.2237649
https://www.google.com/maps/place/Seek+Academy/data=!4m7!3m6!1s0x390d04a13abfc737:0x8b63fcd699a7e603!8m2!3d28.6326483!4d77.0983244!16s%2Fg%2F12hl50bdl!19sChIJN8e_OqEEDTkRA-anmdb8Y4s?authuser=0&hl=en&rclk=1,Seek Academy,"D-138, Jail Rd, near Gurudwara, Block D, Gopal Nagar, Fateh Nagar, New Delhi, Delhi, 110058",https://seekacademy.in/,0858888067,Educational institution,Open,Closes 6 pm,4.7,No,28.6326483,77.0983244
"https://www.google.com/maps/place/IMS+Connaught+Place+-+Leader+in+CAT,+XAT,+CMAT,+SNAP,+NMAT+Entrance+Prep/data=!4m7!3m6!1s0x390cfd3146875fdf:0xb3be7a5d98c3bb36!8m2!3d28.6301044!4d77.2255613!16s%2Fg%2F1v3hyc36!19sChIJ31-HRjH9DDkRNrvDmF16vrM?authuser=0&hl=en&rclk=1","IMS Connaught Place - Leader in CAT, XAT, CMAT, SNAP, NMAT Entrance Prep","Upper Ground, Kanchanjunga Building, Barakhamba Rd, Fire Brigade Lane, Connaught Place, New Delhi, Delhi 110001",https://www.imsindia.com/,0704512712,Coaching Center,Open,Closes 7 pm,4.5,No,28.6301044,77.2255613
https://www.google.com/maps/place/Smarg+Education/data=!4m7!3m6!1s0x390ce4a10283a47f:0x3b13c85c9ae4da36!8m2!3d28.632985!4d77.2168054!16s%2Fg%2F1td_wzs7!19sChIJf6SDAqHkDDkRNtrkmlzIEzs?authuser=0&hl=en&rclk=1,Smarg Education,"Radisson Blu Marina Hotel, G-83/84, 2nd Floor, Connaught Cir, Connaught Place, New Delhi, Delhi 110001",https://www.smargeducation.com/,0999012570,Coaching Center,Open,Closes 6:30 pm,4.9,No,28.632985,77.2168054
https://www.google.com/maps/place/TathaGat+%7C+BEST+CAT+COACHING+%7C+Delhi+-+INDIA/data=!4m7!3m6!1s0x390cfd36ace8b84d:0x3315288728be019b!8m2!3d28.6298603!4d77.2229918!16s%2Fg%2F124yq402v!19sChIJTbjorDb9DDkRmwG-KIcoFTM?authuser=0&hl=en&rclk=1,TathaGat | BEST CAT COACHING | Delhi - INDIA,"602, 6th, Barakhamba Rd, Barakhamba, New Delhi, Delhi 110001",https://www.tathagat.co.in/,0920553443,Coaching Center,Open,Closes 7:30 pm,4.9,No,28.6298603,77.2229918
https://www.google.com/maps/place/Y-Axis/data=!4m7!3m6!1s0x390ce3607036239d:0x4ae2a2b7c1882de7!8m2!3d28.6305706!4d77.2247533!16s%2Fg%2F11h04gb_xp!19sChIJnSM2cGDjDDkR5y2Iwbei4ko?authuser=0&hl=en&rclk=1,Y-Axis,"Narain Manzil, 24, Barakhamba Rd, Fire Brigade Lane, Connaught Place, New Delhi, Delhi 110001",https://www.y-axis.com/coaching/?utm_source=google&utm_medium=gmb&utm_campaign=Connaught_Place_New_Delhi,0767080000,Coaching Center,Not Found,Not Found,4.7,No,28.6305706,77.2247533
https://www.google.com/maps/place/T.I.M.E./data=!4m7!3m6!1s0x390cfd309eebed77:0xa7a0f52a9435ffbd!8m2!3d28.6317713!4d77.2164175!16s%2Fg%2F1tjxd0wh!19sChIJd-3rnjD9DDkRvf81lCr1oKc?authuser=0&hl=en&rclk=1,,,http://www.time4education.com/delhi,09650909890,Not Found,Not Found,Not Found,Not Found,No,28.6317713,77.2164175
https://www.google.com/maps/place/IELTS+COACHING+%7C+English+Speaking+Course+In+Laxmi+Nagar/data=!4m7!3m6!1s0x390cfd247c4b83f9:0x1fc7cb1447e328da!8m2!3d28.6323539!4d77.2797512!16s%2Fg%2F11c6cfb7_t!19sChIJ-YNLfCT9DDkR2ijjRxTLxx8?authuser=0&hl=en&rclk=1,IELTS COACHING | English Speaking Course In Laxmi Nagar,"Ground Floor , office no. 423, shakarpur, Vikas Marg, near Bank of Badoda, Laxmi Nagar, Delhi, 110092",http://ieltscoachinginstitute.com/,0958287667,English language school,Open,Closes 8 pm,4.8,No,28.6323539,77.2797512
https://www.google.com/maps/place/%F0%9D%97%9C%F0%9D%97%98%F0%9D%97%9F%F0%9D%97%A7%F0%9D%97%A6+%F0%9D%97%96%F0%9D%97%BC%F0%9D%97%AE%F0%9D%97%B0%F0%9D%97%B5%F0%9D%97%B6%F0%9D%97%BB%F0%9D%97%B4%F0%9D%97%B4+%F0%9D%97%9C%F0%9D%97%BB%F0%9D%97%B1%F0%9D%97%B6%F0%9D%97%AE/data=!4m7!3m6!1s0x390d02ef8f5cd4d9:0xd4c83789c0001cfa!8m2!3d28.5927113!4d77.0408472!16s%2Fg%2F11g6yp0sxz!19sChIJ2dRcj-8CDTkR-hwAwIk3yNQ?authuser=0&hl=en&rclk=1,𝗜𝗘𝗟𝗧𝗦 𝗖𝗼𝗮𝗰𝗵𝗶𝗻𝗴𝗴 𝗜𝗻𝗱𝗶𝗮,"City Centre Mall, 203, Sector 12 Dwarka, Dwarka, New Delhi, Delhi 110078",https://ieltscoachingindia.com/,0964300151,Coaching Center,Open,Closes 6 pm,4.9,No,28.5927113,9
https://www.google.com/maps/place/Emjay+Coaching/data=!4m7!3m6!1s0x390cfd67c78d795d:0x6ae9e6e49594599d!8m2!3d28.6471876!4d77.2046105!16s%2Fg%2F11gdkwvyr0!19sChIJXXmNx2f9DDkRnVmUleTm6Wo?authuser=0&hl=en&rclk=1,Emjay Coaching,"4, Mezzanine Floor, OFFICE, Jhandewalan, Flatted Factory Complex A, New Delhi, Delhi 110055",http://www.emjaycoaching.com/,0989169836,Educational consultant,Open,Not Found,4.9,No,28.6471876,77.2046105
https://www.google.com/maps/place/Movesabroad/data=!4m7!3m6!1s0x390d031a35c5b6f1:0x7f572aa1dadbcda3!8m2!3d28.693648!4d77.1501226!16s%2Fg%2F11gnrfcs9c!19sChIJ8bbFNRoDDTkRo83b2qEqV38?authuser=0&hl=en&rclk=1,Movesabroad,"4th Floor, Aggarwal Cyber Plaza 1, 407, Netaji Subhash Place, Pitampura, New Delhi, Delhi 110034",https://www.ieltscoachingindelhi.in/,0981154283,Coaching Center,Open,Closes 6:30 pm,4.8,No,28.693648,77.1501226
https://www.google.com/maps/place/Cambridge+English+Academy+%28+CEA+%29+India+Pvt.Ltd/data=!4m7!3m6!1s0x390cfcaef98d7baf:0xab9e79af8102fc2d!8m2!3d28.6322406!4d77.2800809!16s%2Fg%2F1vj5ylp4!19sChIJr3uN-a78DDkRLfwCga95nqs?authuser=0&hl=en&rclk=1,Cambridge English Academy ( CEA ) India Pvt.Ltd,"H-58 , 1st Floor, Main, Vikas Marg, above Sbi Bank, opp. Metro Pillar Number 37, Laxmi Nagar, Delhi, 110092",https://cambridgeenglishacademy.com/,0966772814,Coaching Center,Open,Closes 8 pm,4.8,No,28.6322406,77.2800809
https://www.google.com/maps/place/Essence+Point%7CIELTS%7CPTE%7CGERMAN%7CCoaching+Classes+in+Laxminagar/data=!4m7!3m6!1s0x390cfd0dc6fe18ad:0x8f5a6d2e02e33538!8m2!3d28.6345999!4d77.2843631!16s%2Fg%2F11gk10t8nn!19sChIJrRj-xg39DDkRODXjAi5tWo8?authuser=0&hl=en&rclk=1,Essence Point|IELTS|PTE|GERMAN|Coaching Classes in Laxminagar,"Metro Pillar No 55, Metro Station Laxmi Nagar, Block DA-10 2nd floor Shakarpur, Main Rd, near Goverment No.1 School Nirman Vihar, Laxmi Nagar, Delhi, 110092",https://essencepoint.in/,0875017278,Coaching Center,Open,Closes 8 pm,4.8,No,28.6345999,77.2843631
