search_item,search_lat,search_lon,url,url_lat,url_lon,distance_km,within_7km
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/Y-Axis/data=!4m7!3m6!1s0x390ce3607036239d:0x4ae2a2b7c1882de7!8m2!3d28.6305706!4d77.2247533!16s%2Fg%2F11h04gb_xp!19sChIJnSM2cGDjDDkR5y2Iwbei4ko?authuser=0&hl=en&rclk=1,28.6305706,77.2247533,0.79,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/IELTS+Coaching/data=!4m7!3m6!1s0x390cfdc986a3a7bd:0x4a4982d184f40d72!8m2!3d28.6291627!4d77.2249081!16s%2Fg%2F11h2l33jjp!19sChIJvaejhsn9DDkRcg30hNGCSUo?authuser=0&hl=en&rclk=1,28.6291627,77.2249081,0.84,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/British+Council/data=!4m7!3m6!1s0x390cfd337dcfbf97:0x85ce45e0a4f972e6!8m2!3d28.6271013!4d77.2225856!16s%2Fg%2F1td5pnk8!19sChIJl7_PfTP9DDkR5nL5pOBFzoU?authuser=0&hl=en&rclk=1,28.6271013,77.2225856,0.75,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,"https://www.google.com/maps/place/Oracle+International+Language+Institute+-+Best+Ielts,+English,French,German,Spanish,Arabic,Chinese,+Korean+Classes+in+Delhi/data=!4m7!3m6!1s0x390cfd49ce5d563b:0x76933fe29809ad22!8m2!3d28.6329264!4d77.2222289!16s%2Fg%2F11fyz99r40!19sChIJO1Zdzkn9DDkRIq0JmOI_k3Y?authuser=0&hl=en&rclk=1",28.6329264,77.2222289,0.56,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/Global+Creed/data=!4m7!3m6!1s0x390cfd3690d63b29:0x8cc8f007c2fe254b!8m2!3d28.6325973!4d77.2174089!16s%2Fg%2F11vptxz2y4!19sChIJKTvWkDb9DDkRSyX-wgfwyIw?authuser=0&hl=en&rclk=1,28.6325973,77.2174089,0.14,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/Zenit+Excelencia/data=!4m7!3m6!1s0x390d190d8c15ea3f:0x58342b427226f037!8m2!3d28.6277705!4d77.2217526!16s%2Fg%2F11h89djz8c!19sChIJP-oVjA0ZDTkRN_AmckIrNFg?authuser=0&hl=en&rclk=1,28.6277705,77.2217526,0.64,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/Pragati+The+N+Power/data=!4m7!3m6!1s0x390cfd49be91ad31:0xe4a114673bd093bb!8m2!3d28.6327467!4d77.2220593!16s%2Fg%2F11b6_dc15j!19sChIJMa2Rvkn9DDkRu5PQO2cUoeQ?authuser=0&hl=en&rclk=1,28.6327467,77.2220593,0.54,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/Khaira+Education+Pvt+Ltd+%7C+New+Delhi/data=!4m7!3m6!1s0x390ce31d89b4310d:0x4b8067ae7e214e7b!8m2!3d28.6281715!4d77.2217096!16s%2Fg%2F11n7z_lg_k!19sChIJDTG0iR3jDDkRe04hfq5ngEs?authuser=0&hl=en&rclk=1,28.6281715,77.2217096,0.61,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,https://www.google.com/maps/place/Verbalhub/data=!4m7!3m6!1s0x390cfd67785cfc07:0x8e60f4e264df069e!8m2!3d28.6446855!4d77.2012267!16s%2Fg%2F11q499vn6v!19sChIJB_xceGf9DDkRngbfZOL0YI4?authuser=0&hl=en&rclk=1,28.6446855,77.2012267,2.1,YES
"IELTS Coaching in Connaught Place, Delhi",28.6315,77.2167,"https://www.google.com/maps/place/IMS+Connaught+Place+-+Leader+in+CAT,+XAT,+CMAT,+SNAP,+NMAT+Entrance+Prep/data=!4m7!3m6!1s0x390cfd3146875fdf:0xb3be7a5d98c3bb36!8m2!3d28.6301044!4d77.2255613!16s%2Fg%2F1v3hyc36!19sChIJ31-HRjH9DDkRNrvDmF16vrM?authuser=0&hl=en&rclk=1",28.6301044,77.2255613,0.88,YES
