URL,Name,Address,Website,Phone,Store_Type,Operating_Status,Operating_Hours,Rating,Review_Count,Permanently_Closed,Latitude,Longitude,url,Original_URL,Emails,Career_Page_URL
https://www.google.com/maps/place/Brainovision+Solutions+India+Pvt.Ltd/data=!4m7!3m6!1s0x3bcb93d6209e0f0d:0x72128a1562516f7f!8m2!3d17.4510948!4d78.3918115!16s%2Fg%2F11dymnnfr2!19sChIJDQ-eINaTyzsRf29RYhWKEnI?authuser=0&hl=en&rclk=1,Brainovision Solutions India Pvt.Ltd,"2nd Floor, SS Chambers, 202, near 100 Feet Road, Ayyappa Society, Mega Hills, Madhapur, Hyderabad, Telangana 500081",Not Found,7207775039,Software company,Open,Closes 6 pm,4.6,Not Found,No,6209,78.3918115,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/Cloudrevolute+India+Private+Limited/data=!4m7!3m6!1s0x39edb75dcfffffff:0x4603692932ed591e!8m2!3d17.453387!4d78.3954875!16s%2Fg%2F11cmhbz_b_!19sChIJ____z1237TkRHlntMilpA0Y?authuser=0&hl=en&rclk=1,Cloudrevolute India Private Limited,"2-52/2/24, Megha Hills Colony, Survey of India Colony, Chanda Naik Nagar, Madhapur, Hyderabad, Telangana 500081",Not Found,9100745198,Software company,Open,Closes 6 pm,4.3,Not Found,No,17.453387,78.3954875,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/Appzit+Technologies+Pvt+Ltd/data=!4m7!3m6!1s0x3bcb9147aa6fcc3b:0x54409feec6b01958!8m2!3d17.4520144!4d78.3934213!16s%2Fg%2F11s3pww92l!19sChIJO8xvqkeRyzsRWBmwxu6fQFQ?authuser=0&hl=en&rclk=1,Appzit Technologies Pvt Ltd,"Uptown Cyberabad Building, Block C - 4th Floor, 100 Feet Rd, Ayyappa Society, Madhapur, Telangana 500081",Not Found,Phone Number Not Found,Software company,Open,Not Found,5,Not Found,No,17.4520144,78.3934213,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/Aadi+Overseas+Services/data=!4m7!3m6!1s0x3bcb91f5ff577b57:0x2cef766e1619ac81!8m2!3d17.4518236!4d78.3920722!16s%2Fg%2F11stz49mtn!19sChIJV3tX__WRyzsRgawZFm527yw?authuser=0&hl=en&rclk=1,Aadi Overseas Services,"5th floor, Plot No, 803, 100 Feet Rd, opp. YSR Statue, Ayyappa Society, Mega Hills, Madhapur, Hyderabad, Telangana 500081",Not Found,Phone Number Not Found,Unemployment office,Open,Not Found,4.8,13,No,17.4518236,78.3920722,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/MyAccounts+Online+Softwares+Private+Limited/data=!4m7!3m6!1s0x3bcb916718d39ae7:0x9a7afe2b783b96cc!8m2!3d17.4493145!4d78.3866985!16s%2Fg%2F1tj1kz8g!19sChIJ55rTGGeRyzsRzJY7eCv-epo?authuser=0&hl=en&rclk=1,MyAccounts Online Softwares Private Limited,"H. No. 1-98/8/C/18, Plot 1/B, Flat-201, Vasuki Chandini Jewel,Jaihind layout, near Image Gardens Function Hall, Madhapur, Telangana 500081",Not Found,9030098842,Software company,Open,Closes 8 pm,4.7,Not Found,No,17.4493145,78.3866985,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/Scuti+Tech+Labs+Pvt+Ltd./data=!4m7!3m6!1s0x3bcb915f46bf91cd:0x226086d527dd6791!8m2!3d17.453497!4d78.394861!16s%2Fg%2F11gj3_hzp1!19sChIJzZG_Rl-RyzsRkWfdJ9WGYCI?authuser=0&hl=en&rclk=1,Scuti Tech Labs Pvt Ltd.,"4 Floor, 705, Sanvi Towers, Rd Number 37, Survey of India Colony, Chanda Naik Nagar, Madhapur, Hyderabad, Telangana 500081",Not Found,Phone Number Not Found,Software company,Open,Closes 7 pm,4.3,Not Found,No,17.453497,78.394861,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/Centillionz+IT+Solutions+Pvt+Ltd/data=!4m7!3m6!1s0x3bcb97d4c35d854b:0x439cfd59cdbb539f!8m2!3d17.4527265!4d78.3907344!16s%2Fg%2F11fmsrph3w!19sChIJS4Vdw9SXyzsRn1O7zVn9nEM?authuser=0&hl=en&rclk=1,Centillionz IT Solutions Pvt Ltd,"1st floor, Sai Ganesh Towers, 100, Jai Hind Gandhi Rd, Chanda Naik Nagar, Madhapur, Hyderabad, Telangana 500081",Not Found,Phone Number Not Found,Software company,Open,Opens 6:30 pm,3.7,Not Found,No,17.4527265,78.3907344,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/Pinakam+IT+Solutions/data=!4m7!3m6!1s0x3bcb91510c2325ab:0x13a728fcfd0eecea!8m2!3d17.4549961!4d78.3924401!16s%2Fg%2F11y62bpyyd!19sChIJqyUjDFGRyzsR6uwO_fwopxM?authuser=0&hl=en&rclk=1,Pinakam IT Solutions,"P.No: 6, Chanda Naik Nagar, Madhapur, Gafoornagar, Hyderabad, Telangana 500081",Not Found,8328112909,Software company,Open,Closes 5 pm,5,2,No,17.4549961,78.3924401,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/SunviENG+Pvt+Ltd/data=!4m7!3m6!1s0x3bcb914ad99529af:0x3504b06c71e366dd!8m2!3d17.4515571!4d78.3927985!16s%2Fg%2F11rk4m4k09!19sChIJrymV2UqRyzsR3WbjcWywBDU?authuser=0&hl=en&rclk=1,SunviENG Pvt Ltd,"5th Floor, Sri Swamy Ayyappa Society, Co-Operative Housing Society, Lakshmi Narayana Complex, Plot No.799 to 801, Madhapur, Hyderabad, Telangana 500081",Not Found,Phone Number Not Found,Software company,Open,Not Found,4.4,Not Found,No,17.4515571,78.3927985,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/2020+Productions/data=!4m7!3m6!1s0x3bcb91ddd762478b:0x7b971c6924c506e1!8m2!3d17.4537853!4d78.394424!16s%2Fg%2F11r10w33p_!19sChIJi0di192RyzsR4QbFJGkcl3s?authuser=0&hl=en&rclk=1,2020 Productions,"1st Floor, Plot No.656, Road No. 36, Survey Of India Ayyappa Society, Survey of India Colony, Chanda Naik Nagar, Madhapur, Hyderabad, Telangana 500081",Not Found,Phone Number Not Found,Software company,Open,Closes 9:30 pm,4.6,21,No,17.4537853,78.394424,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/AYD+Solutions+Pvt.Ltd./data=!4m7!3m6!1s0x3bcb9f8ca72526a3:0xa74ebedc056aa51e!8m2!3d17.4520144!4d78.3934213!16s%2Fg%2F11l5jxz98t!19sChIJoyYlp4yfyzsRHqVqBdy-Tqc?authuser=0&hl=en&rclk=1,AYD Solutions Pvt.Ltd.,"Chanda Naik Nagar, Madhapur, Hyderabad, Telangana 500081",Not Found,7672005234,Software company,Open,Not Found,5,Not Found,No,17.4520144,78.3934213,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/VixSpace/data=!4m7!3m6!1s0x3bcb935a70914c63:0x4f186ab3d9114088!8m2!3d17.436578!4d78.3668704!16s%2Fg%2F11h3mtbk0v!19sChIJY0yRcFqTyzsRiEAR2bNqGE8?authuser=0&hl=en&rclk=1,VixSpace,"2nd floor, Vaishnavi's Cynosure, P Janardhan Reddy Nagar, Gachibowli, Hyderabad, Telangana 500032",Not Found,9100779400,Software company,Open,Closes 6:30 pm,4.9,352,No,9114088,78.3668704,Not Foundcareers,Not Found,Error,Error
https://www.google.com/maps/place/Springlogix+Software+Private+Limited/data=!4m7!3m6!1s0x3bcb91610ebf373f:0x22c563399ad1436e!8m2!3d17.4506757!4d78.3894435!16s%2Fg%2F11tcfgd2dr!19sChIJPze_DmGRyzsRbkPRmjljxSI?authuser=0&hl=en&rclk=1,Springlogix Software Private Limited,"F92Q+7QG, Rd Number 20, VIP Hills, Jaihind Enclave, Madhapur, Hyderabad, Telangana 500081",Not Found,8106628761,Software company,Open,Closes 10 pm,4,7,No,17.4506757,78.3894435,Not Foundcareers,Not Found,Error,Error
