search_item,search_lat,search_lon,URL,url_lat,url_lon,distance_km,within_7km
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,https://www.google.com/maps/place/IELTS+Coaching/data=!4m7!3m6!1s0x390cfdc986a3a7bd:0x4a4982d184f40d72!8m2!3d28.6291627!4d77.2249081!16s%2Fg%2F11h2l33jjp!19sChIJvaejhsn9DDkRcg30hNGCSUo?authuser=0&hl=en&rclk=1,28.6291627,77.2249081,0.09,YES
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,https://www.google.com/maps/place/Delhi+-+Barakhamba+International+Education+Career+Launcher+Center/data=!4m7!3m6!1s0x390cfd6fad6e2917:0xa37a59502520406b!8m2!3d28.6296381!4d77.2257202!16s%2Fg%2F11tdtbzwyd!19sChIJFylurW_9DDkRa0AgJVBZeqM?authuser=0&hl=en&rclk=1,28.6296381,77.2257202,0.18,YES
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,https://www.google.com/maps/place/Global+Creed/data=!4m7!3m6!1s0x390cfd3690d63b29:0x8cc8f007c2fe254b!8m2!3d28.6325973!4d77.2174089!16s%2Fg%2F11vptxz2y4!19sChIJKTvWkDb9DDkRSyX-wgfwyIw?authuser=0&hl=en&rclk=1,28.6325973,77.2174089,0.8,YES
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,https://www.google.com/maps/place/Zenit+Excelencia/data=!4m7!3m6!1s0x390d190d8c15ea3f:0x58342b427226f037!8m2!3d28.6277705!4d77.2217526!16s%2Fg%2F11h89djz8c!19sChIJP-oVjA0ZDTkRN_AmckIrNFg?authuser=0&hl=en&rclk=1,28.6277705,77.2217526,0.26,YES
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,"https://www.google.com/maps/place/Oracle+International+Language+Institute+-+Best+Ielts,+English,French,German,Spanish,Arabic,Chinese,+Korean+Classes+in+Delhi/data=!4m7!3m6!1s0x390cfd49ce5d563b:0x76933fe29809ad22!8m2!3d28.6329264!4d77.2222289!16s%2Fg%2F11fyz99r40!19sChIJO1Zdzkn9DDkRIq0JmOI_k3Y?authuser=0&hl=en&rclk=1",28.6329264,77.2222289,0.52,YES
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,https://www.google.com/maps/place/British+Council/data=!4m7!3m6!1s0x390cfd337dcfbf97:0x85ce45e0a4f972e6!8m2!3d28.6271013!4d77.2225856!16s%2Fg%2F1td5pnk8!19sChIJl7_PfTP9DDkR5nL5pOBFzoU?authuser=0&hl=en&rclk=1,28.6271013,77.2225856,0.24,YES
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,https://www.google.com/maps/place/Verbalhub/data=!4m7!3m6!1s0x390cfd67785cfc07:0x8e60f4e264df069e!8m2!3d28.6446855!4d77.2012267!16s%2Fg%2F11q499vn6v!19sChIJB_xceGf9DDkRngbfZOL0YI4?authuser=0&hl=en&rclk=1,28.6446855,77.2012267,2.87,YES
"IELTS Coaching or Tuition Institutes in Barakhamba Road, Delhi",28.6286466,77.2242504,https://www.google.com/maps/place/Canadian+Education+Centre/data=!4m7!3m6!1s0x390cfd32312def79:0xecef531a311ad995!8m2!3d28.6293059!4d77.2237649!16s%2Fg%2F1tdb76df!19sChIJee8tMTL9DDkRldkaMRpT7-w?authuser=0&hl=en&rclk=1,28.6293059,77.2237649,0.09,YES
"IELTS Coaching or Tuition Institutes in Bhagwan Das Road, Delhi",28.6220345,77.2331134,https://www.google.com/maps/place/Verbalhub/data=!4m7!3m6!1s0x390cfd67785cfc07:0x8e60f4e264df069e!8m2!3d28.6446855!4d77.2012267!16s%2Fg%2F11q499vn6v!19sChIJB_xceGf9DDkRngbfZOL0YI4?authuser=0&hl=en&rclk=1,28.6446855,77.2012267,4.0,YES
"IELTS Coaching or Tuition Institutes in Bhagwan Das Road, Delhi",28.6220345,77.2331134,https://www.google.com/maps/place/BRAHMANAND+ENGLISH+ACADEMY/data=!4m7!3m6!1s0x390cfcac8a28d79f:0x69a27dc7dbf7adfc!8m2!3d28.6307754!4d77.2776882!16s%2Fg%2F11dztq5p0n!19sChIJn9coiqz8DDkR_K3328d9omk?authuser=0&hl=en&rclk=1,28.6307754,77.2776882,4.46,YES
"IELTS Coaching or Tuition Institutes in Bhagwan Das Road, Delhi",28.6220345,77.2331134,https://www.google.com/maps/place/IELTS+Coaching/data=!4m7!3m6!1s0x390cfdc986a3a7bd:0x4a4982d184f40d72!8m2!3d28.6291627!4d77.2249081!16s%2Fg%2F11h2l33jjp!19sChIJvaejhsn9DDkRcg30hNGCSUo?authuser=0&hl=en&rclk=1,28.6291627,77.2249081,1.13,YES
"IELTS Coaching or Tuition Institutes in Bhagwan Das Road, Delhi",28.6220345,77.2331134,https://www.google.com/maps/place/Cambridge+English+Academy+%28+CEA+%29+India+Pvt.Ltd/data=!4m7!3m6!1s0x390cfcaef98d7baf:0xab9e79af8102fc2d!8m2!3d28.6322406!4d77.2800809!16s%2Fg%2F1vj5ylp4!19sChIJr3uN-a78DDkRLfwCga95nqs?authuser=0&hl=en&rclk=1,28.6322406,77.2800809,4.72,YES
"IELTS Coaching or Tuition Institutes in Bhagwan Das Road, Delhi",28.6220345,77.2331134,https://www.google.com/maps/place/Essence+Point%7CIELTS%7CPTE%7CGERMAN%7CCoaching+Classes+in+Laxminagar/data=!4m7!3m6!1s0x390cfd0dc6fe18ad:0x8f5a6d2e02e33538!8m2!3d28.6345999!4d77.2843631!16s%2Fg%2F11gk10t8nn!19sChIJrRj-xg39DDkRODXjAi5tWo8?authuser=0&hl=en&rclk=1,28.6345999,77.2843631,5.19,YES
