search_item,search_lat,search_lon,URL,url_lat,url_lon,distance_km,within_7km
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/PHOENIX+ACADEMIA/data=!4m7!3m6!1s0x390ce3277c834719:0xace8ce6309fb80c1!8m2!3d28.5418375!4d77.2036432!16s%2Fg%2F11fphhk5v5!19sChIJGUeDfCfjDDkRwYD7CWPO6Kw?authuser=0&hl=en&rclk=1,28.5418375,77.2036432,3.46,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Ace+With+Ielts/data=!4m7!3m6!1s0x390ce3cc77ebffff:0xb17dc5aa9b8f14ac!8m2!3d28.5513184!4d77.2441237!16s%2Fg%2F11s78cwqqt!19sChIJ___rd8zjDDkRrBSPm6rFfbE?authuser=0&hl=en&rclk=1,28.5513184,77.2441237,1.49,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Onwardo+IMS+Manya+The+Princeton+Review/data=!4m7!3m6!1s0x390ce173002f789b:0x1acc433094fd2530!8m2!3d28.5500421!4d77.2511543!16s%2Fg%2F1tk61h62!19sChIJm3gvAHPhDDkRMCX9lDBDzBo?authuser=0&hl=en&rclk=1,28.5500421,77.2511543,1.73,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Edwizard/data=!4m7!3m6!1s0x390ce2776861db25:0x7446fb60d5d767d5!8m2!3d28.5585219!4d77.2043582!16s%2Fg%2F11cmyl3dtr!19sChIJJdthaHfiDDkR1WfX1WD7RnQ?authuser=0&hl=en&rclk=1,28.5585219,77.2043582,4.03,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,"https://www.google.com/maps/place/American+Institute+Of+English+Language+-spoken+English+language,+PTE+,IELTS/data=!4m7!3m6!1s0x390ce15ffb722ff9:0xe585c71826148f5f!8m2!3d28.5348322!4d77.2599454!16s%2Fg%2F11b8v9vy6x!19sChIJ-S9y-1_hDDkRX48UJhjHheU?authuser=0&hl=en&rclk=1",28.5348322,77.2599454,2.1,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Thinkstitute+Learners/data=!4m7!3m6!1s0x390ce3abbedbd56b:0x9f27e5eafc6313cc!8m2!3d28.5418366!4d77.2422967!16s%2Fg%2F11x5y6zgly!19sChIJa9XbvqvjDDkRzBNj_OrlJ58?authuser=0&hl=en&rclk=1,28.5418366,77.2422967,0.48,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,"https://www.google.com/maps/place/Texas+Review+-+IELTS,+GMAT,+SAT,+TOEFL,+GRE+Coaching+Centre+in+South+Delhi+%7C+Study+Abroad+In+USA,+UK,+GERMANY/data=!4m7!3m6!1s0x390ce38a13f7e30f:0xdfdf17e88b58d480!8m2!3d28.5695721!4d77.2173577!16s%2Fg%2F11vxh5yr9l!19sChIJD-P3E4rjDDkRgNRYi-gX398?authuser=0&hl=en&rclk=1",28.5695721,77.2173577,4.02,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Study+Smart+-+Study+Abroad+Consultancy+%26+Classroom+IELTS+Coaching+in+Delhi/data=!4m7!3m6!1s0x390ce25da9f07291:0xd2983a4bc399f4b9!8m2!3d28.534164!4d77.242784!16s%2Fg%2F1ptz53z8t!19sChIJkXLwqV3iDDkRufSZw0s6mNI?authuser=0&hl=en&rclk=1,28.534164,77.242784,0.64,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/Achiever%27s+Point/data=!4m7!3m6!1s0x390d030d1e116a3f:0xfaaa47f3feb6de13!8m2!3d28.5509312!4d77.2048839!16s%2Fg%2F1tf6_9vn!19sChIJP2oRHg0DDTkRE962_vNHqvo?authuser=0&hl=en&rclk=1,28.5509312,77.2048839,3.59,YES
"IELTS Coaching or Tuition Institutes in C R Park, Delhi",28.5387663,77.2388973,https://www.google.com/maps/place/IELTS+Coaching+in+MalviyaNagar/data=!4m7!3m6!1s0x390ce21956efccb7:0x5ad5ccce73bdf016!8m2!3d28.5319305!4d77.2081082!16s%2Fg%2F11gdgx6zk6!19sChIJt8zvVhniDDkRFvC9c87M1Vo?authuser=0&hl=en&rclk=1,28.5319305,77.2081082,3.1,YES
