Company_Name,Selected_Email,Email_Subject,Sent,Resume_Attached,Timestamp,Error
Acuvate Software Pvt Ltd,info@acuvate.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:42:46+05:30,
Ahex Technologies - Mobile App Development Company in Hyderabad,sales@ahex.co.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:42:48+05:30,
ALTOKK Software Solutions Private Limited,admin@altokk.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:42:50+05:30,
Anchovies IT Solutions Private Limited,support@anchovies.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:42:52+05:30,
Ascus Tech Private Limited,info@ascustech.in,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:42:54+05:30,
Byteridge Software Private Limited,info@byteridge.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:42:56+05:30,
BSIT Software Services Pvt. Ltd.- Leading Software Development Company.,hr@bsitsoftware.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:42:59+05:30,
Gspann,insidesales_research@gspann.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:01+05:30,
ZAZZ IT SOLUTIONS PRIVATE LIMITED,info@zazz.io,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:03+05:30,
Code Connex Pvt.Ltd - Best Software Company in Hyderabad | Digital Marketing | Web Design & Development | App Development,hello@codeconnex.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:05+05:30,
Codetek Software Solutions Pvt Ltd.,hr@codeteksoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:07+05:30,
CogniX Software Solutions,info@cognixsoft.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:10+05:30,
"Conquerors Software Technologies | Custom Web & Mobile App Developers | 15+ Years in LMS, Flutter, React Native & AI Agents",hr@conquerorstech.net,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:12+05:30,
Coserve Software Solutions Pvt. Ltd.,info@coservesolution.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:14+05:30,
Gleecus TechLabs,hello@gleecus.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:16+05:30,
Innvectra Info Solutions Pvt. Ltd.,info@innvectra.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:18+05:30,
JK Tech Hyderabad,marketing@jktech.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:20+05:30,
MAQ Software,CustomerSuccess@MAQSoftware.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:22+05:30,
"Mirafra Software Technologies Private Limited, Hyderabad",swecareer@mirafra.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:24+05:30,
MIRAKI TECHNOLOGIES,growbusiness@mirakitech.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:26+05:30,
Quisitive,ask@quisitive.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:28+05:30,
Rational Knowledge Services Private Limited (Operational),work@rationalknowledgeservices.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:30+05:30,
RWAVE Software Technologies Private Limited,info@rwavesoftech.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:32+05:30,
Sciens Software Technologies LLP,support@scienstechnologies.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:34+05:30,
Megasoft Limited,sigma@sigmaadvsys.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:38+05:30,
Sunseaz Technologies,info@sunseaz.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:40+05:30,
Techally Labs - IT & Software Development Company,info@techallylabs.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:42+05:30,
Techbion Software Systems Pvt Ltd,contactus@techbion.com,Python Developer | Open to Automation Projects - Virinchi,yes,no,2026-02-23T17:43:44+05:30,
